Main
Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Company,Stock
10/2/2017,154.26,154.45,152.72,153.81,18524860,0,1,154.26,154.45,152.72,153.81,18524860,Apple,AAPL
9/29/2017,153.21,154.13,152,154.12,25856530,0,1,153.21,154.13,152,154.12,25856530,Apple,AAPL
9/28/2017,153.89,154.28,152.7,153.28,21896592,0,1,153.89,154.28,152.7,153.28,21896592,Apple,AAPL
9/27/2017,153.8,154.7189,153.54,154.23,24959552,0,1,153.8,154.7189,153.54,154.23,24959552,Apple,AAPL
9/26/2017,151.78,153.92,151.69,153.14,35470985,0,1,151.78,153.92,151.69,153.14,35470985,Apple,AAPL
9/25/2017,149.99,151.83,149.16,150.55,43922334,0,1,149.99,151.83,149.16,150.55,43922334,Apple,AAPL
9/22/2017,152.02,152.27,150.56,151.89,46114424,0,1,152.02,152.27,150.56,151.89,46114424,Apple,AAPL
9/21/2017,155.8,155.8,152.75,153.39,36643382,0,1,155.8,155.8,152.75,153.39,36643382,Apple,AAPL
9/20/2017,157.9,158.26,153.83,156.07,51693239,0,1,157.9,158.26,153.83,156.07,51693239,Apple,AAPL
9/19/2017,159.51,159.77,158.44,158.73,20347352,0,1,159.51,159.77,158.44,158.73,20347352,Apple,AAPL
9/18/2017,160.11,160.5,157.995,158.67,27939718,0,1,160.11,160.5,157.995,158.67,27939718,Apple,AAPL
9/15/2017,158.47,160.97,158,159.88,48203642,0,1,158.47,160.97,158,159.88,48203642,Apple,AAPL
9/14/2017,158.99,159.4,158.09,158.28,23073646,0,1,158.99,159.4,158.09,158.28,23073646,Apple,AAPL
9/13/2017,159.87,159.96,157.91,159.65,44393752,0,1,159.87,159.96,157.91,159.65,44393752,Apple,AAPL
9/12/2017,162.61,163.96,158.77,160.82,71139119,0,1,162.61,163.96,158.77,160.82,71139119,Apple,AAPL
9/11/2017,160.5,162.05,159.89,161.5,31028926,0,1,160.5,162.05,159.89,161.5,31028926,Apple,AAPL
